Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.27414E-3,44.874979246,0.69339902,0.011262833,0.303030303,0.4
2.27879E-3,45.102857951,0.694138241,0.011163162,0.303030303,0.4
2.31807E-3,45.334665039,0.700321081,0.01106349,0.303030303,0.4
2.32936E-3,45.567601107,0.70207474,0.010963819,0.303030303,0.4
2.33373E-3,45.800974555,0.702751366,0.010864148,0.303030303,0.4
2.3711E-3,46.038084826,0.708469929,0.010764477,0.303030303,0.4
2.37823E-3,46.275908302,0.7095488,0.010664806,0.303030303,0.4
2.38031E-3,46.513939688,0.709862555,0.010565135,0.303030303,0.4
2.38516E-3,46.7524558,0.710592733,0.010465464,0.303030303,0.4
2.40292E-3,47.232747067,0.71325234,0.010266122,0.303030303,0.4
2.42737E-3,47.475483664,0.716873205,0.010166451,0.303030303,0.4
2.43144E-3,47.718627332,0.717471711,0.01006678,0.303030303,0.4
2.43205E-3,47.961832184,0.717561558,0.009967109,0.303030303,0.4
2.44702E-3,48.206534212,0.719751254,0.009867437,0.303030303,0.4
2.45625E-3,48.452159611,0.721093259,0.009767766,0.303030303,0.4
2.46193E-3,48.698352278,0.721914523,0.009668095,0.303030303,0.4
2.4924E-3,48.947592329,0.726285175,0.009568424,0.303030303,0.4
2.53165E-3,49.200757687,0.731813893,0.009468753,0.303030303,0.4
2.53535E-3,49.45429306,0.732329257,0.009369082,0.303030303,0.4
2.55366E-3,49.709659003,0.734864378,0.009269411,0.303030303,0.4
2.56518E-3,49.966176514,0.736446843,0.00916974,0.303030303,0.4
2.56541E-3,50.222717052,0.736478391,0.009070069,0.303030303,0.4
2.60059E-3,50.482775829,0.741254258,0.008970398,0.303030303,0.4
2.60918E-3,50.743694107,0.742407779,0.008870727,0.303030303,0.4
2.61839E-3,51.005533527,0.74363832,0.008771056,0.303030303,0.4
2.62669E-3,51.268202651,0.744741676,0.008671384,0.333333333,0.4
2.6381E-3,51.532012217,0.746250514,0.008571713,0.333333333,0.4
2.66588E-3,51.798599747,0.749888624,0.008472042,0.333333333,0.4
2.69874E-3,52.06847333,0.754124858,0.008372371,0.333333333,0.4
2.80011E-3,52.348484477,0.766746937,0.0082727,0.333333333,0.4
2.82409E-3,52.630893147,0.769636038,0.008173029,0.333333333,0.4
2.8418E-3,52.915073535,0.771748002,0.008073358,0.333333333,0.4
2.85395E-3,53.200468778,0.773184962,0.007973687,0.333333333,0.4
2.88744E-3,53.489213046,0.777099597,0.007874016,0.333333333,0.4
2.91139E-3,53.780352543,0.779857843,0.007774345,0.363636364,0.4
2.92024E-3,54.072376132,0.78086728,0.007674674,0.363636364,0.4
2.96307E-3,54.368683577,0.785693325,0.007575002,0.363636364,0.4
3.02609E-3,54.671292404,0.792599757,0.007475331,0.363636364,0.4
3.0438E-3,54.975672237,0.794500431,0.00737566,0.363636364,0.4
3.05285E-3,55.280957144,0.795465038,0.007275989,0.363636364,0.4
3.08648E-3,55.589605639,0.799010354,0.007176318,0.363636364,0.4
3.12497E-3,55.902102589,0.802991418,0.007076647,0.363636364,0.4
3.17251E-3,56.219353897,0.807800888,0.006976976,0.363636364,0.4
